"","var","estimate","ci_lower","ci_upper","pval","trait","probe","pheno_marker","eqtl_marker","abs_est"
"1","med",-0.0940766670892408,-0.458060938240402,0.149447862015586,0.444,"mean.EXT","A_12_P100536","V_2895960","V_2819653",0.0940766670892408
"2","direct",0.937758536877089,0.445148816895984,1.54342899917322,0,"mean.EXT","A_12_P100536","V_2895960","V_2819653",0.937758536877089
"3","total",0.843681869787848,0.460048931771856,1.25602041953583,0,"mean.EXT","A_12_P100536","V_2895960","V_2819653",0.843681869787848
"4","prop_med",-0.111507275974648,-0.610126924393293,0.214150364301167,0.444,"mean.EXT","A_12_P100536","V_2895960","V_2819653",0.111507275974648
"5","med",0.0259955079206195,-0.0748932296261347,0.0986891624803898,0.514,"mean.EXT","A_12_P102045","V_2895960","V_2064625",0.0259955079206195
"6","direct",0.817686361867228,0.413443958899669,1.24335302649667,0,"mean.EXT","A_12_P102045","V_2895960","V_2064625",0.817686361867228
"7","total",0.843681869787847,0.439441412778345,1.23090883466795,0,"mean.EXT","A_12_P102045","V_2895960","V_2064625",0.843681869787847
"8","prop_med",0.0308119788412146,-0.0813969997232214,0.143811375933561,0.514,"mean.EXT","A_12_P102045","V_2895960","V_2064625",0.0308119788412146
"9","med",0.00738196581114461,-0.112371334607902,0.134871295640172,0.906,"mean.EXT","A_12_P104520","V_2895960","V_3177786",0.00738196581114461
"10","direct",0.836299903976703,0.412184069453696,1.24162501971678,0,"mean.EXT","A_12_P104520","V_2895960","V_3177786",0.836299903976703
"11","total",0.843681869787847,0.46636776134646,1.21921338002807,0,"mean.EXT","A_12_P104520","V_2895960","V_3177786",0.843681869787847
"12","prop_med",0.00874970302846603,-0.140716415902993,0.199827624082546,0.906,"mean.EXT","A_12_P104520","V_2895960","V_3177786",0.00874970302846603
"13","med",-0.0764858636648295,-0.284402441130223,0.111277143484836,0.444,"mean.EXT","A_12_P105326","V_2895960","V_2894620",0.0764858636648295
"14","direct",0.920167733452677,0.497605483616562,1.30583319898399,0,"mean.EXT","A_12_P105326","V_2895960","V_2894620",0.920167733452677
"15","total",0.843681869787847,0.435005597801696,1.24223506867547,0,"mean.EXT","A_12_P105326","V_2895960","V_2894620",0.843681869787847
"16","prop_med",-0.0906572327838012,-0.427753650739246,0.131852360783289,0.444,"mean.EXT","A_12_P105326","V_2895960","V_2894620",0.0906572327838012
"17","med",0.0241880937164631,-0.143507596061116,0.18648096977373,0.754,"mean.EXT","A_12_P106012","V_2895960","V_2819815",0.0241880937164631
"18","direct",0.819493776071384,0.368471221989024,1.28206431988359,0.002,"mean.EXT","A_12_P106012","V_2895960","V_2819815",0.819493776071384
"19","total",0.843681869787847,0.443693399148072,1.21739891380427,0,"mean.EXT","A_12_P106012","V_2895960","V_2819815",0.843681869787847
"20","prop_med",0.0286696853193556,-0.164756217598907,0.306586231275917,0.754,"mean.EXT","A_12_P106012","V_2895960","V_2819815",0.0286696853193556
