"","var","estimate","ci_lower","ci_upper","pval","trait","probe","pheno_marker","eqtl_marker","abs_est"
"21","med",0.381274275076741,0.158808437658851,0.702469633767517,0,"mean.EXT","A_12_P106882","V_2895960","V_2819206",0.381274275076741
"22","direct",0.471462587668706,0.0248929150068014,0.908684372102067,0.04,"mean.EXT","A_12_P106882","V_2895960","V_2819206",0.471462587668706
"23","total",0.852736862745447,0.402512270204451,1.29117046676071,0,"mean.EXT","A_12_P106882","V_2895960","V_2819206",0.852736862745447
"24","prop_med",0.447118321880915,0.176722809004246,0.954710744248704,0,"mean.EXT","A_12_P106882","V_2895960","V_2819206",0.447118321880915
"25","med",-0.0452494653186677,-0.136227518802775,0.0238902675842675,0.234,"mean.EXT","A_12_P107095","V_2895960","V_1913716",0.0452494653186677
"26","direct",0.90942951579365,0.520848614149369,1.30252450794636,0,"mean.EXT","A_12_P107095","V_2895960","V_1913716",0.90942951579365
"27","total",0.864180050474982,0.462163498471544,1.25324236842395,0,"mean.EXT","A_12_P107095","V_2895960","V_1913716",0.864180050474982
"28","prop_med",-0.0523611547082082,-0.183623440767744,0.0306839243063441,0.234,"mean.EXT","A_12_P107095","V_2895960","V_1913716",0.0523611547082082
"29","med",-0.0112064940331864,-0.130386206050429,0.131846390224583,0.82,"mean.EXT","A_12_P107351","V_2895960","V_1913716",0.0112064940331864
"30","direct",0.854888363821033,0.486180773941113,1.26871930630964,0,"mean.EXT","A_12_P107351","V_2895960","V_1913716",0.854888363821033
"31","total",0.843681869787847,0.477239033857184,1.27015202692202,0.002,"mean.EXT","A_12_P107351","V_2895960","V_1913716",0.843681869787847
"32","prop_med",-0.0132828432546552,-0.211546387773676,0.137615851898018,0.822,"mean.EXT","A_12_P107351","V_2895960","V_1913716",0.0132828432546552
"33","med",-0.0922260260852679,-0.342752525488894,0.140513708282327,0.384,"mean.EXT","A_12_P107487","V_2895960","V_2486919",0.0922260260852679
"34","direct",0.935907895873115,0.47709243514004,1.43074238604058,0,"mean.EXT","A_12_P107487","V_2895960","V_2486919",0.935907895873115
"35","total",0.843681869787847,0.440435095139003,1.28751116806935,0,"mean.EXT","A_12_P107487","V_2895960","V_2486919",0.843681869787847
"36","prop_med",-0.109313746552903,-0.493151491234607,0.16987790634934,0.384,"mean.EXT","A_12_P107487","V_2895960","V_2486919",0.109313746552903
"37","med",0.0866261850826548,-0.00419242761689946,0.247899986381805,0.076,"mean.EXT","A_12_P107593","V_2895960","V_3491728",0.0866261850826548
"38","direct",0.757055684705192,0.316969593493846,1.16005159048444,0,"mean.EXT","A_12_P107593","V_2895960","V_3491728",0.757055684705192
"39","total",0.843681869787847,0.438702283928071,1.2550649588916,0,"mean.EXT","A_12_P107593","V_2895960","V_3491728",0.843681869787847
"40","prop_med",0.102676362008867,-0.00586367319741239,0.349881536304516,0.076,"mean.EXT","A_12_P107593","V_2895960","V_3491728",0.102676362008867
"41","med",0.0385475456383643,-0.0523319910677206,0.118273587188031,0.346,"mean.EXT","A_12_P107968","V_2895960","V_2486919",0.0385475456383643
"42","direct",0.853287591721638,0.411444758634349,1.28812859891153,0,"mean.EXT","A_12_P107968","V_2895960","V_2486919",0.853287591721638
"43","total",0.891835137360003,0.465520387955509,1.32695764815588,0,"mean.EXT","A_12_P107968","V_2895960","V_2486919",0.891835137360003
"44","prop_med",0.0432227258419893,-0.0561402902095221,0.168480270432692,0.346,"mean.EXT","A_12_P107968","V_2895960","V_2486919",0.0432227258419893
"45","med",0.0622225895272556,-0.11372140088486,0.218588838752356,0.454,"mean.EXT","A_12_P108017","V_2895960","V_3091058",0.0622225895272556
"46","direct",0.781459280260591,0.331955812482485,1.24353059185844,0.002,"mean.EXT","A_12_P108017","V_2895960","V_3091058",0.781459280260591
"47","total",0.843681869787847,0.449242731346307,1.23923675743625,0,"mean.EXT","A_12_P108017","V_2895960","V_3091058",0.843681869787847
"48","prop_med",0.0737512464774219,-0.130251344186169,0.326013903857325,0.454,"mean.EXT","A_12_P108017","V_2895960","V_3091058",0.0737512464774219
"49","med",-0.0846867453370532,-0.278809345399597,0.0827721895873486,0.326,"mean.EXT","A_12_P108135","V_2895960","V_2659191",0.0846867453370532
"50","direct",0.929375116399637,0.503349795746953,1.38280919151761,0,"mean.EXT","A_12_P108135","V_2895960","V_2659191",0.929375116399637
"51","total",0.844688371062584,0.445378596176342,1.26978341279335,0,"mean.EXT","A_12_P108135","V_2895960","V_2659191",0.844688371062584
"52","prop_med",-0.100257974701985,-0.411173838264614,0.105016199485663,0.326,"mean.EXT","A_12_P108135","V_2895960","V_2659191",0.100257974701985
"53","med",-0.108852339397931,-0.331713423339642,0.101588067668997,0.296,"mean.EXT","A_12_P108514","V_2895960","V_2621596",0.108852339397931
"54","direct",0.952534209185778,0.496749655793579,1.43783137561146,0,"mean.EXT","A_12_P108514","V_2895960","V_2621596",0.952534209185778
"55","total",0.843681869787847,0.42665812038023,1.24488453469282,0,"mean.EXT","A_12_P108514","V_2895960","V_2621596",0.843681869787847
"56","prop_med",-0.129020598042842,-0.489209132708298,0.125545914843559,0.296,"mean.EXT","A_12_P108514","V_2895960","V_2621596",0.129020598042842
"57","med",0.0674667799305773,-0.0288611488789177,0.207970695152676,0.208,"mean.EXT","A_12_P108526","V_2895960","V_3491728",0.0674667799305773
"58","direct",0.810983764116514,0.394703733204627,1.24387554879509,0,"mean.EXT","A_12_P108526","V_2895960","V_3491728",0.810983764116514
"59","total",0.878450544047091,0.489565579098375,1.27936449702895,0,"mean.EXT","A_12_P108526","V_2895960","V_3491728",0.878450544047091
"60","prop_med",0.0768020241865325,-0.0315934486708116,0.27638455179582,0.208,"mean.EXT","A_12_P108526","V_2895960","V_3491728",0.0768020241865325
"61","med",-0.0154057965490933,-0.119940295820944,0.075207237229723,0.728,"mean.EXT","A_12_P108810","V_2895960","V_2271007",0.0154057965490933
"62","direct",0.860027286072419,0.446519320810328,1.29854794158724,0,"mean.EXT","A_12_P108810","V_2895960","V_2271007",0.860027286072419
"63","total",0.844621489523326,0.438545729199226,1.28030539526449,0,"mean.EXT","A_12_P108810","V_2895960","V_2271007",0.844621489523326
"64","prop_med",-0.0182398822906907,-0.159720198097462,0.0921453341434492,0.728,"mean.EXT","A_12_P108810","V_2895960","V_2271007",0.0182398822906907
"65","med",0.129145372835934,0.00678668706551707,0.302564591093652,0.038,"mean.EXT","A_12_P109200","V_2895960","V_2819815",0.129145372835934
"66","direct",0.748346210136144,0.27863682834008,1.21995457087242,0.004,"mean.EXT","A_12_P109200","V_2895960","V_2819815",0.748346210136144
"67","total",0.877491582972078,0.444858429756126,1.31540388919419,0,"mean.EXT","A_12_P109200","V_2895960","V_2819815",0.877491582972078
"68","prop_med",0.147175625774685,0.00816159346345134,0.43431482691835,0.038,"mean.EXT","A_12_P109200","V_2895960","V_2819815",0.147175625774685
"69","med",-0.0431204548758989,-0.248103119924607,0.171024044893613,0.706,"mean.EXT","A_12_P110343","V_2895960","V_2819135",0.0431204548758989
"70","direct",0.886802324663746,0.411532263000926,1.34649822549736,0.002,"mean.EXT","A_12_P110343","V_2895960","V_2819135",0.886802324663746
"71","total",0.843681869787847,0.44036489846784,1.25452913701192,0,"mean.EXT","A_12_P110343","V_2895960","V_2819135",0.843681869787847
"72","prop_med",-0.0511098512603358,-0.33686903095762,0.245612934172449,0.706,"mean.EXT","A_12_P110343","V_2895960","V_2819135",0.0511098512603358
"73","med",0.0578878941683445,-0.0796215505493435,0.212111849461149,0.416,"mean.EXT","A_12_P112393","V_2895960","V_2273347",0.0578878941683445
"74","direct",0.785793975619502,0.348726842495432,1.19487403409041,0,"mean.EXT","A_12_P112393","V_2895960","V_2273347",0.785793975619502
"75","total",0.843681869787847,0.443172150302588,1.25018429794161,0,"mean.EXT","A_12_P112393","V_2895960","V_2273347",0.843681869787847
"76","prop_med",0.0686134148916831,-0.102208587550534,0.275131364569284,0.416,"mean.EXT","A_12_P112393","V_2895960","V_2273347",0.0686134148916831
"77","med",-0.0522313848982052,-0.177688454487849,0.0511243433743228,0.332,"mean.EXT","A_12_P114382","V_2895960","V_2486919",0.0522313848982052
"78","direct",0.895913254686053,0.496238471579479,1.31319568909042,0,"mean.EXT","A_12_P114382","V_2895960","V_2486919",0.895913254686053
"79","total",0.843681869787848,0.424053615438264,1.26904290970338,0,"mean.EXT","A_12_P114382","V_2895960","V_2486919",0.843681869787848
"80","prop_med",-0.061908862532911,-0.283492850441073,0.0530499555221123,0.332,"mean.EXT","A_12_P114382","V_2895960","V_2486919",0.061908862532911
"81","med",-0.0578526736782361,-0.218569354903998,0.0942406555218614,0.422,"mean.EXT","A_12_P115824","V_2895960","V_2486919",0.0578526736782361
"82","direct",0.901534543466083,0.513404967705202,1.31072603947825,0,"mean.EXT","A_12_P115824","V_2895960","V_2486919",0.901534543466083
"83","total",0.843681869787847,0.445846687525601,1.24570594226732,0,"mean.EXT","A_12_P115824","V_2895960","V_2486919",0.843681869787847
"84","prop_med",-0.0685716687177168,-0.31785969106267,0.105907872060148,0.422,"mean.EXT","A_12_P115824","V_2895960","V_2486919",0.0685716687177168
"85","med",-0.325251540844302,-0.749901023803351,0.0783300947018885,0.106,"mean.EXT","A_12_P115868","V_2895960","V_2819206",0.325251540844302
"86","direct",1.15103818670083,0.600655609221091,1.76668992544571,0,"mean.EXT","A_12_P115868","V_2895960","V_2819206",1.15103818670083
"87","total",0.825786645856528,0.43864586270259,1.23843585694143,0,"mean.EXT","A_12_P115868","V_2895960","V_2819206",0.825786645856528
"88","prop_med",-0.393868734104973,-1.1009603095357,0.104985717871572,0.106,"mean.EXT","A_12_P115868","V_2895960","V_2819206",0.393868734104973
"89","med",-0.0247606830665047,-0.143631722128206,0.102588399259481,0.644,"mean.EXT","A_12_P117752","V_2895960","V_2819135",0.0247606830665047
"90","direct",0.868442552854351,0.442178860749966,1.27958135249665,0,"mean.EXT","A_12_P117752","V_2895960","V_2819135",0.868442552854351
"91","total",0.843681869787847,0.426734523790797,1.22330905434942,0,"mean.EXT","A_12_P117752","V_2895960","V_2819135",0.843681869787847
"92","prop_med",-0.0293483645354748,-0.197570422680529,0.123084553463539,0.644,"mean.EXT","A_12_P117752","V_2895960","V_2819135",0.0293483645354748
"93","med",-0.077765855788295,-0.373662249304992,0.205759901407054,0.572,"mean.EXT","A_12_P118281","V_2895960","V_2657849",0.077765855788295
"94","direct",0.958227941957037,0.522765087872201,1.39321928735414,0,"mean.EXT","A_12_P118281","V_2895960","V_2657849",0.958227941957037
"95","total",0.880462086168742,0.509275568962254,1.27079188692465,0,"mean.EXT","A_12_P118281","V_2895960","V_2657849",0.880462086168742
"96","prop_med",-0.0883239119661435,-0.524051678227819,0.243804141760955,0.572,"mean.EXT","A_12_P118281","V_2895960","V_2657849",0.0883239119661435
"97","med",0.00288462975403538,-0.0886100661720839,0.0995243441911213,0.892,"mean.EXT","A_12_P118637","V_2895960","V_2284786",0.00288462975403538
"98","direct",0.840797240033812,0.469579267136339,1.22913687849248,0,"mean.EXT","A_12_P118637","V_2895960","V_2284786",0.840797240033812
"99","total",0.843681869787847,0.457202410693328,1.24887358817967,0,"mean.EXT","A_12_P118637","V_2895960","V_2284786",0.843681869787847
"100","prop_med",0.00341909653073468,-0.122304396774484,0.116691761830227,0.892,"mean.EXT","A_12_P118637","V_2895960","V_2284786",0.00341909653073468
"101","med",0.0300670635569437,-0.130754240082937,0.16373885511555,0.698,"mean.EXT","A_12_P118931","V_2895960","V_2819815",0.0300670635569437
"102","direct",0.813614806230903,0.380973941164822,1.27450591759836,0.002,"mean.EXT","A_12_P118931","V_2895960","V_2819815",0.813614806230903
"103","total",0.843681869787847,0.46125998267638,1.25395576795268,0,"mean.EXT","A_12_P118931","V_2895960","V_2819815",0.843681869787847
"104","prop_med",0.0356379159415911,-0.169443337344475,0.228584208903227,0.698,"mean.EXT","A_12_P118931","V_2895960","V_2819815",0.0356379159415911
"105","med",0.0279530313281371,-0.093825863187654,0.138070404818291,0.578,"mean.EXT","A_12_P119422","V_2895960","V_2819135",0.0279530313281371
"106","direct",0.81572883845971,0.382212741805663,1.25316135040748,0,"mean.EXT","A_12_P119422","V_2895960","V_2819135",0.81572883845971
"107","total",0.843681869787847,0.415222526580906,1.27350874003932,0,"mean.EXT","A_12_P119422","V_2895960","V_2819135",0.843681869787847
"108","prop_med",0.0331321939336757,-0.128383076717765,0.205489112772038,0.578,"mean.EXT","A_12_P119422","V_2895960","V_2819135",0.0331321939336757
"109","med",0.472084094322948,-0.204081455887578,1.27908865628738,0.17,"mean.EXT","A_12_P120244","V_2895960","V_2819206",0.472084094322948
"110","direct",0.371597775464898,-0.614353218610467,1.22234480770459,0.4,"mean.EXT","A_12_P120244","V_2895960","V_2819206",0.371597775464898
"111","total",0.843681869787845,0.432359700099363,1.24945174376075,0,"mean.EXT","A_12_P120244","V_2895960","V_2819206",0.843681869787845
"112","prop_med",0.559552256873386,-0.240360339946818,2.00707849415979,0.17,"mean.EXT","A_12_P120244","V_2895960","V_2819206",0.559552256873386
"113","med",0.000950293713378302,-0.0621410304208936,0.0480074611291185,0.93,"mean.EXT","A_12_P103478","V_2895960","V_2819653",0.000950293713378302
"114","direct",0.875322984689406,0.420042855682151,1.29992708002663,0,"mean.EXT","A_12_P103478","V_2895960","V_2819653",0.875322984689406
"115","total",0.876273278402785,0.432102521856988,1.28536389175135,0,"mean.EXT","A_12_P103478","V_2895960","V_2819653",0.876273278402785
"116","prop_med",0.00108447186146134,-0.0843839478845758,0.0631111013834285,0.93,"mean.EXT","A_12_P103478","V_2895960","V_2819653",0.00108447186146134
"117","med",0.0674550347107542,-0.0979008532966087,0.185444023867118,0.36,"mean.EXT","A_12_P100286","V_5585423","V_5269261",0.0674550347107542
"118","direct",0.361592977319409,-0.10303888272151,0.829957035792504,0.112,"mean.EXT","A_12_P100286","V_5585423","V_5269261",0.361592977319409
"119","total",0.429048012030163,-0.0195830011093396,0.832632998121458,0.06,"mean.EXT","A_12_P100286","V_5585423","V_5269261",0.429048012030163
"120","prop_med",0.157220247663126,-0.580546156645131,1.09337306071793,0.404,"mean.EXT","A_12_P100286","V_5585423","V_5269261",0.157220247663126
"121","med",0.00602719804193302,-0.0635254553369407,0.067990549999593,0.904,"mean.EXT","A_12_P100452","V_5585423","V_5019415",0.00602719804193302
"122","direct",0.460958157454206,0.0513408119616415,0.883606057557025,0.02,"mean.EXT","A_12_P100452","V_5585423","V_5019415",0.460958157454206
"123","total",0.466985355496139,0.0618807066456325,0.880583302341459,0.016,"mean.EXT","A_12_P100452","V_5585423","V_5019415",0.466985355496139
"124","prop_med",0.0129066103915176,-0.176760480089966,0.257949471125574,0.9,"mean.EXT","A_12_P100452","V_5585423","V_5019415",0.0129066103915176
"125","med",0.275384406135776,-0.0664106780853764,0.648293989262869,0.112,"mean.EXT","A_12_P101235","V_5585423","V_6236729",0.275384406135776
"126","direct",0.191600949360365,-0.311444905068666,0.681033767394981,0.478,"mean.EXT","A_12_P101235","V_5585423","V_6236729",0.191600949360365
"127","total",0.46698535549614,0.062038060891204,0.826903225849398,0.022,"mean.EXT","A_12_P101235","V_5585423","V_6236729",0.46698535549614
"128","prop_med",0.589706728261743,-0.293623903489259,3.44293751051665,0.134,"mean.EXT","A_12_P101235","V_5585423","V_6236729",0.589706728261743
"129","med",-0.125844157585373,-0.512558683427608,0.171160536713032,0.422,"mean.EXT","A_12_P101408","V_5585423","V_5237566",0.125844157585373
"130","direct",0.518354188169774,0.0659658871734589,1.0245021423016,0.024,"mean.EXT","A_12_P101408","V_5585423","V_5237566",0.518354188169774
"131","total",0.3925100305844,-0.0532534990906805,0.780327807284521,0.066,"mean.EXT","A_12_P101408","V_5585423","V_5237566",0.3925100305844
"132","prop_med",-0.320613864053376,-3.97625043274967,1.41573682430996,0.48,"mean.EXT","A_12_P101408","V_5585423","V_5237566",0.320613864053376
"133","med",-0.0106911733468091,-0.218789177812467,0.180284209177697,0.944,"mean.EXT","A_12_P101543","V_5585423","V_5237566",0.0106911733468091
"134","direct",0.477676528842949,0.0685781207549448,0.909632079893222,0.02,"mean.EXT","A_12_P101543","V_5585423","V_5237566",0.477676528842949
"135","total",0.46698535549614,0.0617015926544086,0.87830337942061,0.022,"mean.EXT","A_12_P101543","V_5585423","V_5237566",0.46698535549614
"136","prop_med",-0.022894022737502,-0.904147444673872,0.526256994503809,0.954,"mean.EXT","A_12_P101543","V_5585423","V_5237566",0.022894022737502
"137","med",0.115253432854072,0.0183197849369561,0.248942491172337,0.022,"mean.EXT","A_12_P101610","V_5585423","V_5107998",0.115253432854072
"138","direct",0.351731922642068,-0.0618552728734059,0.755973016815114,0.08,"mean.EXT","A_12_P101610","V_5585423","V_5107998",0.351731922642068
"139","total",0.46698535549614,0.0686028829215478,0.885927337591103,0.016,"mean.EXT","A_12_P101610","V_5585423","V_5107998",0.46698535549614
"140","prop_med",0.24680309885012,0.0156621816593754,1.43411279371314,0.038,"mean.EXT","A_12_P101610","V_5585423","V_5107998",0.24680309885012
"141","med",0.0923936454530764,-0.143677024623322,0.374620906703613,0.432,"mean.EXT","A_12_P101647","V_5585423","V_5722437",0.0923936454530764
"142","direct",0.374591710043063,-0.216941138261453,0.838135097439455,0.152,"mean.EXT","A_12_P101647","V_5585423","V_5722437",0.374591710043063
"143","total",0.46698535549614,0.0698579107360795,0.825667767390079,0.024,"mean.EXT","A_12_P101647","V_5585423","V_5722437",0.46698535549614
"144","prop_med",0.197851269564791,-0.423864789372622,1.94951191229525,0.456,"mean.EXT","A_12_P101647","V_5585423","V_5722437",0.197851269564791
"145","med",0.172052505689191,0.0305387878189967,0.342794766034098,0.014,"mean.EXT","A_12_P102124","V_5585423","V_5097086",0.172052505689191
"146","direct",0.294932849806949,-0.153693336042667,0.734975186573011,0.182,"mean.EXT","A_12_P102124","V_5585423","V_5097086",0.294932849806949
"147","total",0.46698535549614,0.0648620831970164,0.869019340085763,0.036,"mean.EXT","A_12_P102124","V_5585423","V_5097086",0.46698535549614
"148","prop_med",0.368432336612349,0.00257007975385875,1.60219635517507,0.05,"mean.EXT","A_12_P102124","V_5585423","V_5097086",0.368432336612349
"149","med",0.160557675851554,0.0319117245175842,0.326452581383316,0.012,"mean.EXT","A_12_P102287","V_5585423","V_5237566",0.160557675851554
"150","direct",0.25726791770163,-0.12017694634219,0.712028078997062,0.182,"mean.EXT","A_12_P102287","V_5585423","V_5237566",0.25726791770163
"151","total",0.417825593553184,0.0356203149905192,0.851567133582563,0.038,"mean.EXT","A_12_P102287","V_5585423","V_5237566",0.417825593553184
"152","prop_med",0.384269605138769,0.0187111998930077,1.60307160214422,0.05,"mean.EXT","A_12_P102287","V_5585423","V_5237566",0.384269605138769
"153","med",-0.0444627474890515,-0.269763308162668,0.0967108766011269,0.566,"mean.EXT","A_12_P103542","V_5585423","V_5699019",0.0444627474890515
"154","direct",0.511448102985191,0.102377483011615,0.989873815846133,0.022,"mean.EXT","A_12_P103542","V_5585423","V_5699019",0.511448102985191
"155","total",0.466985355496139,0.0709947405116698,0.880364740000243,0.02,"mean.EXT","A_12_P103542","V_5585423","V_5699019",0.466985355496139
"156","prop_med",-0.0952122951303536,-1.02525773570785,0.264681559937943,0.566,"mean.EXT","A_12_P103542","V_5585423","V_5699019",0.0952122951303536
"157","med",-0.0354418143682442,-0.333349301804458,0.225515526672924,0.822,"mean.EXT","A_12_P103656","V_5585423","V_5281983",0.0354418143682442
"158","direct",0.477582516066339,0.0519744987538683,0.931436026642891,0.026,"mean.EXT","A_12_P103656","V_5585423","V_5281983",0.477582516066339
"159","total",0.442140701698094,0.0529292447021378,0.837604970085341,0.032,"mean.EXT","A_12_P103656","V_5585423","V_5281983",0.442140701698094
"160","prop_med",-0.0801595832098823,-1.94638398716647,0.702995310284006,0.842,"mean.EXT","A_12_P103656","V_5585423","V_5281983",0.0801595832098823
"161","med",0.291931166428879,0.0674735603026197,0.554274424884618,0.014,"mean.EXT","A_12_P103786","V_5585423","V_7086818",0.291931166428879
"162","direct",0.150209535269215,-0.289324260322899,0.546287296855896,0.508,"mean.EXT","A_12_P103786","V_5585423","V_7086818",0.150209535269215
"163","total",0.442140701698094,0.0174174742497579,0.833463161958748,0.038,"mean.EXT","A_12_P103786","V_5585423","V_7086818",0.442140701698094
"164","prop_med",0.660267569368038,-0.0288490844896069,3.6052347392229,0.052,"mean.EXT","A_12_P103786","V_5585423","V_7086818",0.660267569368038
"165","med",-0.0786054699245831,-0.318303056381514,0.0642251740309416,0.328,"mean.EXT","A_12_P104496","V_5585423","V_5571503",0.0786054699245831
"166","direct",0.545590825420723,0.1367182909324,1.00351960057672,0.004,"mean.EXT","A_12_P104496","V_5585423","V_5571503",0.545590825420723
"167","total",0.46698535549614,0.068242751819798,0.866606672728786,0.016,"mean.EXT","A_12_P104496","V_5585423","V_5571503",0.46698535549614
"168","prop_med",-0.168325342538997,-1.60106486388431,0.185588653525117,0.344,"mean.EXT","A_12_P104496","V_5585423","V_5571503",0.168325342538997
"169","med",-0.0776600158418944,-0.343248419931483,0.112397206523766,0.466,"mean.EXT","A_12_P106150","V_5585423","V_5722437",0.0776600158418944
"170","direct",0.544645371338034,0.119783329012603,0.962172043340488,0.016,"mean.EXT","A_12_P106150","V_5585423","V_5722437",0.544645371338034
"171","total",0.466985355496139,0.059486164612836,0.839712757105903,0.028,"mean.EXT","A_12_P106150","V_5585423","V_5722437",0.466985355496139
"172","prop_med",-0.166300752106854,-1.62830502431098,0.315180220551363,0.482,"mean.EXT","A_12_P106150","V_5585423","V_5722437",0.166300752106854
"173","med",-0.0597422638931334,-0.236794675420416,0.109433203505834,0.458,"mean.EXT","A_12_P107335","V_5585423","V_5235073",0.0597422638931334
"174","direct",0.556609778956099,0.154711068785817,0.954085187392203,0.01,"mean.EXT","A_12_P107335","V_5585423","V_5235073",0.556609778956099
"175","total",0.496867515062966,0.0786129615216275,0.86129716678715,0.026,"mean.EXT","A_12_P107335","V_5585423","V_5235073",0.496867515062966
"176","prop_med",-0.120237814069134,-1.01650813692593,0.330151364304791,0.48,"mean.EXT","A_12_P107335","V_5585423","V_5235073",0.120237814069134
"177","med",0.0050457306030993,-0.104291960576354,0.0694880928992754,0.862,"mean.EXT","A_12_P108115","V_5585423","V_5237566",0.0050457306030993
"178","direct",0.46193962489304,0.0678034858743689,0.845562487646831,0.02,"mean.EXT","A_12_P108115","V_5585423","V_5237566",0.46193962489304
"179","total",0.466985355496139,0.0833503521129984,0.821146077212759,0.018,"mean.EXT","A_12_P108115","V_5585423","V_5237566",0.466985355496139
"180","prop_med",0.0108049011467149,-0.340527652057122,0.228737204495256,0.86,"mean.EXT","A_12_P108115","V_5585423","V_5237566",0.0108049011467149
"181","med",0.00279098273802571,-0.150280750152802,0.146624584674795,0.91,"mean.EXT","A_12_P108221","V_5585423","V_7343918",0.00279098273802571
"182","direct",0.400502090143268,-0.0243592239053312,0.815847573414739,0.058,"mean.EXT","A_12_P108221","V_5585423","V_7343918",0.400502090143268
"183","total",0.403293072881294,-0.0106926979679457,0.809269098639716,0.054,"mean.EXT","A_12_P108221","V_5585423","V_7343918",0.403293072881294
"184","prop_med",0.00692048271021808,-0.86707284567391,0.658341843041018,0.892,"mean.EXT","A_12_P108221","V_5585423","V_7343918",0.00692048271021808
"185","med",0.0144661091806127,-0.0629116235255445,0.108881153370161,0.714,"mean.EXT","A_12_P108306","V_5585423","V_8585263",0.0144661091806127
"186","direct",0.452519246315527,0.0531999132187981,0.891597145341844,0.04,"mean.EXT","A_12_P108306","V_5585423","V_8585263",0.452519246315527
"187","total",0.46698535549614,0.0724332788030402,0.887979675169269,0.026,"mean.EXT","A_12_P108306","V_5585423","V_8585263",0.46698535549614
"188","prop_med",0.0309776506058599,-0.180732836634907,0.357780648315828,0.728,"mean.EXT","A_12_P108306","V_5585423","V_8585263",0.0309776506058599
"189","med",-0.0233530907421162,-0.146197346088757,0.0535239952915622,0.586,"mean.EXT","A_12_P109124","V_5585423","V_6526389",0.0233530907421162
"190","direct",0.419851586166987,-0.0128566621425907,0.834578315943133,0.052,"mean.EXT","A_12_P109124","V_5585423","V_6526389",0.419851586166987
"191","total",0.396498495424871,-0.0206757093914815,0.815870509881741,0.058,"mean.EXT","A_12_P109124","V_5585423","V_6526389",0.396498495424871
"192","prop_med",-0.0588983085978472,-0.692768863078045,0.278678174622283,0.6,"mean.EXT","A_12_P109124","V_5585423","V_6526389",0.0588983085978472
"193","med",0.0949969999665548,-0.0853507201129977,0.273011136929535,0.26,"mean.EXT","A_12_P109300","V_5585423","V_5235073",0.0949969999665548
"194","direct",0.348124770175069,-0.105224697632985,0.822039458486582,0.148,"mean.EXT","A_12_P109300","V_5585423","V_5235073",0.348124770175069
"195","total",0.443121770141624,0.0292797734791418,0.854752573364684,0.034,"mean.EXT","A_12_P109300","V_5585423","V_5235073",0.443121770141624
