"","assay","condition","control","strain","trait","phenotype"
"52","i","abamectin","1percDMSO","QX51","norm.n",6.23541266175157
"53","j","abamectin","1percDMSO","QX153","mean.EXT",3.40816817388542
"54","j","abamectin","1percDMSO","QX153","mean.norm.EXT",0.0582202223569219
"55","j","abamectin","1percDMSO","QX153","mean.TOF",-3.99829962385829
"56","j","abamectin","1percDMSO","QX153","norm.n",-2.47465074435973
"57","e","abamectin","1percDMSO","QX192","mean.EXT",-120.662452335194
"58","i","abamectin","1percDMSO","QX166","mean.EXT",91.8561583205847
"59","l","abamectin","1percDMSO","QX15","mean.EXT",80.9764017460772
"60","e","abamectin","1percDMSO","QX192","mean.norm.EXT",-0.0621923826679219
"61","i","abamectin","1percDMSO","QX166","mean.norm.EXT",-0.157330896725663
"62","l","abamectin","1percDMSO","QX15","mean.norm.EXT",0.310954197465102
"63","e","abamectin","1percDMSO","QX192","mean.TOF",-34.2428463554402
"64","i","abamectin","1percDMSO","QX166","mean.TOF",47.0733731060841
"65","l","abamectin","1percDMSO","QX15","mean.TOF",9.96549058804427
"66","e","abamectin","1percDMSO","QX192","norm.n",-0.40127024905336
"67","i","abamectin","1percDMSO","QX166","norm.n",20.8015859372202
"68","l","abamectin","1percDMSO","QX15","norm.n",7.36941951209576
"69","j","abamectin","1percDMSO","QX20","mean.EXT",-2.34910740061689
"70","j","abamectin","1percDMSO","QX20","mean.norm.EXT",-0.0112773352655233
"71","j","abamectin","1percDMSO","QX20","mean.TOF",-4.55734335525852
"72","j","abamectin","1percDMSO","QX20","norm.n",-1.19592457688927
"73","i","abamectin","1percDMSO","QX33","mean.EXT",-46.1794094059975
"74","j","abamectin","1percDMSO","QX55","mean.EXT",35.8532461706673
"75","l","abamectin","1percDMSO","QX98","mean.EXT",-103.13639875432
"76","i","abamectin","1percDMSO","QX33","mean.norm.EXT",-0.142205711256784
"77","j","abamectin","1percDMSO","QX55","mean.norm.EXT",0.233230723585503
"78","l","abamectin","1percDMSO","QX98","mean.norm.EXT",0.0749104291214536
"79","i","abamectin","1percDMSO","QX33","mean.TOF",-4.03262188996959
"80","j","abamectin","1percDMSO","QX55","mean.TOF",-2.36455520251188
"81","l","abamectin","1percDMSO","QX98","mean.TOF",-49.2626705372159
"82","i","abamectin","1percDMSO","QX33","norm.n",-6.39598713204883
"83","j","abamectin","1percDMSO","QX55","norm.n",-2.68890926850818
"84","l","abamectin","1percDMSO","QX98","norm.n",-6.03596531698955
"85","e","abamectin","1percDMSO","QX42","mean.EXT",-88.5770399911968
"86","h","abamectin","1percDMSO","QX204","mean.EXT",-33.6883103657025
"87","m","abamectin","1percDMSO","QX88","mean.EXT",57.0204838174863
"88","e","abamectin","1percDMSO","QX42","mean.norm.EXT",-0.13998592544879
"89","h","abamectin","1percDMSO","QX204","mean.norm.EXT",0.182704841445331
"90","m","abamectin","1percDMSO","QX88","mean.norm.EXT",0.14333097751586
"91","e","abamectin","1percDMSO","QX42","mean.TOF",-18.6723239857323
"92","h","abamectin","1percDMSO","QX204","mean.TOF",-31.3922327710854
"93","m","abamectin","1percDMSO","QX88","mean.TOF",20.1514808030551
"94","e","abamectin","1percDMSO","QX42","norm.n",-6.11496022915292
"95","h","abamectin","1percDMSO","QX204","norm.n",-5.51098690015068
"96","m","abamectin","1percDMSO","QX88","norm.n",0.859487703624776
"97","k","abamectin","1percDMSO","QX75","mean.EXT",-7.84773307738057
"98","k","abamectin","1percDMSO","QX75","mean.norm.EXT",-0.073105935743997
"99","k","abamectin","1percDMSO","QX75","mean.TOF",10.1237253549457
"100","k","abamectin","1percDMSO","QX75","norm.n",-5.656148743885
"101","h","abamectin","1percDMSO","QX165","mean.EXT",-77.622116957093
"102","j","abamectin","1percDMSO","QX63","mean.EXT",-167.381149225148
"103","h","abamectin","1percDMSO","QX165","mean.norm.EXT",-0.362671986145884
"104","j","abamectin","1percDMSO","QX63","mean.norm.EXT",0.0425009699806415
"105","h","abamectin","1percDMSO","QX165","mean.TOF",-7.67519309698147
"106","j","abamectin","1percDMSO","QX63","mean.TOF",-72.6813336351776
"107","h","abamectin","1percDMSO","QX165","norm.n",-2.94784667588728
"108","j","abamectin","1percDMSO","QX63","norm.n",-12.3787081543864
"109","l","abamectin","1percDMSO","QX104","mean.EXT",-86.0151091456132
"110","l","abamectin","1percDMSO","QX104","mean.norm.EXT",-0.451725036948328
"111","l","abamectin","1percDMSO","QX104","mean.TOF",3.52071188879634
"112","l","abamectin","1percDMSO","QX104","norm.n",-0.364747849098181
"113","e","abamectin","1percDMSO","QX45","mean.EXT",-81.9173789019908
"114","m","abamectin","1percDMSO","QX84","mean.EXT",-23.8912182476411
"115","e","abamectin","1percDMSO","QX45","mean.norm.EXT",0.062429893438717
"116","m","abamectin","1percDMSO","QX84","mean.norm.EXT",-0.10132341892464
"117","e","abamectin","1percDMSO","QX45","mean.TOF",-42.7719628472264
"118","m","abamectin","1percDMSO","QX84","mean.TOF",2.50058804925761
"119","e","abamectin","1percDMSO","QX45","norm.n",-1.75583983849079
"120","m","abamectin","1percDMSO","QX84","norm.n",-5.84244583590816
"121","h","abamectin","1percDMSO","QX101","mean.EXT",1.44261025787029
"122","i","abamectin","1percDMSO","QX154","mean.EXT",-146.610944873529
"123","j","abamectin","1percDMSO","QX117","mean.EXT",-91.5023067442942
"124","l","abamectin","1percDMSO","QX135","mean.EXT",-75.8382800454253
"125","m","abamectin","1percDMSO","QX176","mean.EXT",-43.505268419642
"126","h","abamectin","1percDMSO","QX101","mean.norm.EXT",0.236569976182731
"127","i","abamectin","1percDMSO","QX154","mean.norm.EXT",-0.176087989754885
"128","j","abamectin","1percDMSO","QX117","mean.norm.EXT",-0.0527793104576738
"129","l","abamectin","1percDMSO","QX135","mean.norm.EXT",-0.324975524751888
"130","m","abamectin","1percDMSO","QX176","mean.norm.EXT",-0.121782433775668
"131","h","abamectin","1percDMSO","QX101","mean.TOF",-10.9653892465971
"132","i","abamectin","1percDMSO","QX154","mean.TOF",-59.0736373641623
"133","j","abamectin","1percDMSO","QX117","mean.TOF",-36.5323420420741
"134","l","abamectin","1percDMSO","QX135","mean.TOF",-17.9060768363624
"135","m","abamectin","1percDMSO","QX176","mean.TOF",-18.271635491913
"136","h","abamectin","1percDMSO","QX101","norm.n",0.971000225911328
"137","i","abamectin","1percDMSO","QX154","norm.n",-13.0884408560443
"138","j","abamectin","1percDMSO","QX117","norm.n",-5.02413856494901
"139","l","abamectin","1percDMSO","QX135","norm.n",7.98072013788983
"140","m","abamectin","1percDMSO","QX176","norm.n",-8.23228229821186
"141","h","abamectin","1percDMSO","QX47","mean.EXT",34.9728683942921
"142","i","abamectin","1percDMSO","QX162","mean.EXT",2.9639636863176
"143","j","abamectin","1percDMSO","QX190","mean.EXT",-141.337897704822
"144","l","abamectin","1percDMSO","QX16","mean.EXT",-65.7201778155153
"145","h","abamectin","1percDMSO","QX47","mean.norm.EXT",0.0326090638937049
"146","i","abamectin","1percDMSO","QX162","mean.norm.EXT",0.0225597578799082
"147","j","abamectin","1percDMSO","QX190","mean.norm.EXT",-0.161725128385313
"148","l","abamectin","1percDMSO","QX16","mean.norm.EXT",-0.0477337326915491
"149","h","abamectin","1percDMSO","QX47","mean.TOF",11.1658971606653
"150","i","abamectin","1percDMSO","QX162","mean.TOF",3.46364326102498
"151","j","abamectin","1percDMSO","QX190","mean.TOF",-57.5434102468072
"152","l","abamectin","1percDMSO","QX16","mean.TOF",-26.5891148638529
"153","h","abamectin","1percDMSO","QX47","norm.n",-0.166656001260437
"154","i","abamectin","1percDMSO","QX162","norm.n",-1.27956716098116
"155","j","abamectin","1percDMSO","QX190","norm.n",2.47984369222681
"156","l","abamectin","1percDMSO","QX16","norm.n",-1.83194548338829
"157","h","abamectin","1percDMSO","QX148","mean.EXT",15.5240601206764
"158","i","abamectin","1percDMSO","QX149","mean.EXT",-131.861492191056
"159","j","abamectin","1percDMSO","QX121","mean.EXT",44.7822804504742
"160","k","abamectin","1percDMSO","QX164","mean.EXT",-53.561293994806
"161","m","abamectin","1percDMSO","QX173","mean.EXT",61.8367783484468
"162","h","abamectin","1percDMSO","QX148","mean.norm.EXT",0.0959263642396271
"163","i","abamectin","1percDMSO","QX149","mean.norm.EXT",-0.271156476062734
"164","j","abamectin","1percDMSO","QX121","mean.norm.EXT",-0.0417206702362212
"165","k","abamectin","1percDMSO","QX164","mean.norm.EXT",0.0169931526551003
"166","m","abamectin","1percDMSO","QX173","mean.norm.EXT",0.0188158759398392
"167","h","abamectin","1percDMSO","QX148","mean.TOF",3.38576610951234
"168","i","abamectin","1percDMSO","QX149","mean.TOF",-37.3366899085457
"169","j","abamectin","1percDMSO","QX121","mean.TOF",27.8128856336508
"170","k","abamectin","1percDMSO","QX164","mean.TOF",-41.305443292412
"171","m","abamectin","1percDMSO","QX173","mean.TOF",26.6995378552793
"172","h","abamectin","1percDMSO","QX148","norm.n",-3.23036476957272
"173","i","abamectin","1percDMSO","QX149","norm.n",-13.6701624982946
"174","j","abamectin","1percDMSO","QX121","norm.n",-7.17734315890239
"175","k","abamectin","1percDMSO","QX164","norm.n",-1.57499564568361
"176","m","abamectin","1percDMSO","QX173","norm.n",3.07071317656796
"177","e","abamectin","1percDMSO","QX13","mean.EXT",-56.5815721030571
"178","e","abamectin","1percDMSO","QX13","mean.norm.EXT",0.00604405117669207
"179","e","abamectin","1percDMSO","QX13","mean.TOF",-21.8811349181124
"180","e","abamectin","1percDMSO","QX13","norm.n",3.22937066973731
"181","f","abamectin","1percDMSO","QX66","mean.EXT",125.589501791992
"182","h","abamectin","1percDMSO","QX180","mean.EXT",57.3270422664957
"183","k","abamectin","1percDMSO","QX188","mean.EXT",-45.1321560017688
"184","f","abamectin","1percDMSO","QX66","mean.norm.EXT",0.0225887146715195
"185","h","abamectin","1percDMSO","QX180","mean.norm.EXT",-0.0487507388031714
"186","k","abamectin","1percDMSO","QX188","mean.norm.EXT",-0.0351046300642522
"187","f","abamectin","1percDMSO","QX66","mean.TOF",44.7086167132099
"188","h","abamectin","1percDMSO","QX180","mean.TOF",22.8584967934932
"189","k","abamectin","1percDMSO","QX188","mean.TOF",-3.48660588765406
"190","f","abamectin","1percDMSO","QX66","norm.n",8.77306988911613
"191","h","abamectin","1percDMSO","QX180","norm.n",5.01423161312924
"192","k","abamectin","1percDMSO","QX188","norm.n",-11.6716971106666
"193","j","abamectin","1percDMSO","QX207","mean.EXT",60.2871923986068
"194","l","abamectin","1percDMSO","QX183","mean.EXT",-88.8129980777156
"195","j","abamectin","1percDMSO","QX207","mean.norm.EXT",0.11014400661775
"196","l","abamectin","1percDMSO","QX183","mean.norm.EXT",-0.168057080582794
"197","j","abamectin","1percDMSO","QX207","mean.TOF",9.85685807091306
"198","l","abamectin","1percDMSO","QX183","mean.TOF",-25.2215841188335
"199","j","abamectin","1percDMSO","QX207","norm.n",4.83555036976201
"200","l","abamectin","1percDMSO","QX183","norm.n",-7.22709162192642
"201","j","abamectin","1percDMSO","QX11","mean.EXT",-40.2785840891024
"202","l","abamectin","1percDMSO","QX26","mean.EXT",-66.2540170487686
"203","j","abamectin","1percDMSO","QX11","mean.norm.EXT",0.119618125004238
"204","l","abamectin","1percDMSO","QX26","mean.norm.EXT",-0.208189811228976
"205","j","abamectin","1percDMSO","QX11","mean.TOF",-25.0079058838391
"206","l","abamectin","1percDMSO","QX26","mean.TOF",-8.49588593953753
"207","j","abamectin","1percDMSO","QX11","norm.n",-4.46820398002753
"208","l","abamectin","1percDMSO","QX26","norm.n",-9.04885884565396
"209","e","abamectin","1percDMSO","QX83","mean.EXT",-84.3184134769573
"210","h","abamectin","1percDMSO","QX113","mean.EXT",-63.9916437657102
"211","m","abamectin","1percDMSO","QX118","mean.EXT",-5.57334671594572
"212","e","abamectin","1percDMSO","QX83","mean.norm.EXT",-0.293336261317038
"213","h","abamectin","1percDMSO","QX113","mean.norm.EXT",-0.0490598407419976
"214","m","abamectin","1percDMSO","QX118","mean.norm.EXT",0.118490904093953
"215","e","abamectin","1percDMSO","QX83","mean.TOF",-18.2649118335291
"216","h","abamectin","1percDMSO","QX113","mean.TOF",-13.0769955667053
"217","m","abamectin","1percDMSO","QX118","mean.TOF",-12.021597419741
"218","e","abamectin","1percDMSO","QX83","norm.n",-3.71526328939009
"219","h","abamectin","1percDMSO","QX113","norm.n",-0.697562403862835
"220","m","abamectin","1percDMSO","QX118","norm.n",-1.80186928680746
"221","j","abamectin","1percDMSO","QX22","mean.EXT",-101.545434821174
"222","j","abamectin","1percDMSO","QX22","mean.norm.EXT",-0.159137054447865
"223","j","abamectin","1percDMSO","QX22","mean.TOF",-31.6528857119829
"224","j","abamectin","1percDMSO","QX22","norm.n",-7.57248929744052
"225","e","abamectin","1percDMSO","QX181","mean.EXT",48.8261618459083
"226","f","abamectin","1percDMSO","QX125","mean.EXT",4.35083783256601
"227","k","abamectin","1percDMSO","QX93","mean.EXT",41.0227007138325
"228","e","abamectin","1percDMSO","QX181","mean.norm.EXT",0.0576049530183645
"229","f","abamectin","1percDMSO","QX125","mean.norm.EXT",-0.0489799222643346
"230","k","abamectin","1percDMSO","QX93","mean.norm.EXT",0.123284533920374
"231","e","abamectin","1percDMSO","QX181","mean.TOF",10.8057403449179
"232","f","abamectin","1percDMSO","QX125","mean.TOF",10.1267037872092
"233","k","abamectin","1percDMSO","QX93","mean.TOF",15.7408603367141
"234","e","abamectin","1percDMSO","QX181","norm.n",2.84901402297108
"235","f","abamectin","1percDMSO","QX125","norm.n",1.78710050587831
"236","k","abamectin","1percDMSO","QX93","norm.n",-4.98758611411084
"237","f","abamectin","1percDMSO","QX95","mean.EXT",-1.03027279213905
"238","f","abamectin","1percDMSO","QX95","mean.norm.EXT",-0.0209657647999872
"239","f","abamectin","1percDMSO","QX95","mean.TOF",-4.34856870210206
"240","f","abamectin","1percDMSO","QX95","norm.n",-0.700574509506176
"241","k","abamectin","1percDMSO","QX25","mean.EXT",14.8261595742284
"242","l","abamectin","1percDMSO","QX82","mean.EXT",62.5266100440613
"243","m","abamectin","1percDMSO","QX44","mean.EXT",50.5344049602359
"244","k","abamectin","1percDMSO","QX25","mean.norm.EXT",0.142871918769051
"245","l","abamectin","1percDMSO","QX82","mean.norm.EXT",-0.0428121615658236
"246","m","abamectin","1percDMSO","QX44","mean.norm.EXT",-0.0562707580891145
"247","k","abamectin","1percDMSO","QX25","mean.TOF",-9.97179579131197
"248","l","abamectin","1percDMSO","QX82","mean.TOF",39.4593116240036
"249","m","abamectin","1percDMSO","QX44","mean.TOF",23.8751267457086
"250","k","abamectin","1percDMSO","QX25","norm.n",-2.39031610507894
"251","l","abamectin","1percDMSO","QX82","norm.n",-1.96125898312036
"252","m","abamectin","1percDMSO","QX44","norm.n",14.4104932742335
"253","e","abamectin","1percDMSO","QX103","mean.EXT",105.458615663614
"254","h","abamectin","1percDMSO","QX224","mean.EXT",-73.8030891067425
"255","m","abamectin","1percDMSO","QX202","mean.EXT",-90.5594484214707
"256","e","abamectin","1percDMSO","QX103","mean.norm.EXT",-0.0557361301256305
"257","h","abamectin","1percDMSO","QX224","mean.norm.EXT",0.113838313862549
"258","m","abamectin","1percDMSO","QX202","mean.norm.EXT",-0.225058516278476
"259","e","abamectin","1percDMSO","QX103","mean.TOF",41.8860795767902
"260","h","abamectin","1percDMSO","QX224","mean.TOF",-50.2041619929974
"261","m","abamectin","1percDMSO","QX202","mean.TOF",-26.5392459564322
"262","e","abamectin","1percDMSO","QX103","norm.n",10.8304326049842
"263","h","abamectin","1percDMSO","QX224","norm.n",2.83599883685678
"264","m","abamectin","1percDMSO","QX202","norm.n",-1.76205161271649
"265","l","abamectin","1percDMSO","QX237","mean.EXT",-86.2375080587381
"266","m","abamectin","1percDMSO","QX4","mean.EXT",197.357345985991
"267","l","abamectin","1percDMSO","QX237","mean.norm.EXT",-0.277909790257338
"268","m","abamectin","1percDMSO","QX4","mean.norm.EXT",0.447274194426824
"269","l","abamectin","1percDMSO","QX237","mean.TOF",-16.0301283164729
"270","m","abamectin","1percDMSO","QX4","mean.TOF",50.4737937245978
"271","l","abamectin","1percDMSO","QX237","norm.n",-2.30824472012781
"272","m","abamectin","1percDMSO","QX4","norm.n",3.91940454572208
"273","i","abamectin","1percDMSO","QX189","mean.EXT",-125.338029394866
"274","j","abamectin","1percDMSO","QX43","mean.EXT",92.1130437496375
"275","i","abamectin","1percDMSO","QX189","mean.norm.EXT",-0.00701870297679882
"276","j","abamectin","1percDMSO","QX43","mean.norm.EXT",0.205481792232359
"277","i","abamectin","1percDMSO","QX189","mean.TOF",-59.389549884448
"278","j","abamectin","1percDMSO","QX43","mean.TOF",13.2799154245899
"279","i","abamectin","1percDMSO","QX189","norm.n",-3.15518267556186
"280","j","abamectin","1percDMSO","QX43","norm.n",-0.958533833529231
"281","e","abamectin","1percDMSO","QX194","mean.EXT",61.4583690378667
"282","f","abamectin","1percDMSO","QX102","mean.EXT",169.579630360676
"283","h","abamectin","1percDMSO","QX12","mean.EXT",-55.71718972917
"284","j","abamectin","1percDMSO","QX107","mean.EXT",-1.04693349013685
"285","k","abamectin","1percDMSO","QX90","mean.EXT",26.7289775125718
"286","l","abamectin","1percDMSO","QX79","mean.EXT",12.3532626243311
"287","m","abamectin","1percDMSO","QX28","mean.EXT",-89.8611193468379
"288","e","abamectin","1percDMSO","QX194","mean.norm.EXT",-0.177142377446735
"289","f","abamectin","1percDMSO","QX102","mean.norm.EXT",0.301106594145165
"290","h","abamectin","1percDMSO","QX12","mean.norm.EXT",-0.030580503810549
"291","j","abamectin","1percDMSO","QX107","mean.norm.EXT",-0.217419766596377
"292","k","abamectin","1percDMSO","QX90","mean.norm.EXT",-0.200092926916251
"293","l","abamectin","1percDMSO","QX79","mean.norm.EXT",0.126837968051872
"294","m","abamectin","1percDMSO","QX28","mean.norm.EXT",-0.160232967197591
"295","e","abamectin","1percDMSO","QX194","mean.TOF",41.555812652575
"296","f","abamectin","1percDMSO","QX102","mean.TOF",39.8298225575502
"297","h","abamectin","1percDMSO","QX12","mean.TOF",-17.41232270171
"298","j","abamectin","1percDMSO","QX107","mean.TOF",14.7473115682333
"299","k","abamectin","1percDMSO","QX90","mean.TOF",33.2163795933596
"300","l","abamectin","1percDMSO","QX79","mean.TOF",-2.75236157811483
"301","m","abamectin","1percDMSO","QX28","mean.TOF",-43.5997024898102
"302","e","abamectin","1percDMSO","QX194","norm.n",1.39546879235509
"303","f","abamectin","1percDMSO","QX102","norm.n",5.95319862849609
"304","h","abamectin","1percDMSO","QX12","norm.n",0.386245532455775
"305","j","abamectin","1percDMSO","QX107","norm.n",-4.41283793915494
"306","k","abamectin","1percDMSO","QX90","norm.n",-6.66904227254941
"307","l","abamectin","1percDMSO","QX79","norm.n",4.21507783004461
"308","m","abamectin","1percDMSO","QX28","norm.n",-6.48711737146101
"309","e","abamectin","1percDMSO","QX196","mean.EXT",54.8063780857161
"310","f","abamectin","1percDMSO","QX80","mean.EXT",47.2783379323506
"311","e","abamectin","1percDMSO","QX196","mean.norm.EXT",0.0699522757522633
"312","f","abamectin","1percDMSO","QX80","mean.norm.EXT",0.234525076278488
"313","e","abamectin","1percDMSO","QX196","mean.TOF",15.5574041587214
"314","f","abamectin","1percDMSO","QX80","mean.TOF",-7.20270923137841
"315","e","abamectin","1percDMSO","QX196","norm.n",0.00411458003195484
"316","f","abamectin","1percDMSO","QX80","norm.n",2.58839034851147
"317","f","abamectin","1percDMSO","QX236","mean.EXT",-61.5716261751385
"318","l","abamectin","1percDMSO","QX14","mean.EXT",126.19137794033
"319","f","abamectin","1percDMSO","QX236","mean.norm.EXT",-0.248713201641047
"320","l","abamectin","1percDMSO","QX14","mean.norm.EXT",0.0984707867812461
"321","f","abamectin","1percDMSO","QX236","mean.TOF",-13.8838501081511
"322","l","abamectin","1percDMSO","QX14","mean.TOF",49.9646528494119
"323","f","abamectin","1percDMSO","QX236","norm.n",-1.71991480250278
"324","l","abamectin","1percDMSO","QX14","norm.n",2.83017038205367
"325","e","abamectin","1percDMSO","QX163","mean.EXT",-23.9284370215307
"326","k","abamectin","1percDMSO","QX133","mean.EXT",-37.8857117321082
"327","e","abamectin","1percDMSO","QX163","mean.norm.EXT",0.183367742387265
"328","k","abamectin","1percDMSO","QX133","mean.norm.EXT",-0.141100716407558
"329","e","abamectin","1percDMSO","QX163","mean.TOF",-17.3392858514881
"330","k","abamectin","1percDMSO","QX133","mean.TOF",7.86884476304069
"331","e","abamectin","1percDMSO","QX163","norm.n",-4.38003399294926
"332","k","abamectin","1percDMSO","QX133","norm.n",2.13148869507404
"333","e","abamectin","1percDMSO","QX178","mean.EXT",-36.8227092519722
"334","e","abamectin","1percDMSO","QX178","mean.norm.EXT",-0.354832748361845
"335","e","abamectin","1percDMSO","QX178","mean.TOF",27.5624959398025
"336","e","abamectin","1percDMSO","QX178","norm.n",-9.29053816730817
"337","e","abamectin","1percDMSO","QX48","mean.EXT",303.754664973406
"338","k","abamectin","1percDMSO","QX38","mean.EXT",-155.769331620722
"339","m","abamectin","1percDMSO","QX10","mean.EXT",-35.1600715862935
"340","e","abamectin","1percDMSO","QX48","mean.norm.EXT",0.560704870545054
"341","k","abamectin","1percDMSO","QX38","mean.norm.EXT",-0.570236780891096
"342","m","abamectin","1percDMSO","QX10","mean.norm.EXT",0.0669247912447972
"343","e","abamectin","1percDMSO","QX48","mean.TOF",58.8144728950999
"344","k","abamectin","1percDMSO","QX38","mean.TOF",-33.090005171178
"345","m","abamectin","1percDMSO","QX10","mean.TOF",-20.0848954132325
"346","e","abamectin","1percDMSO","QX48","norm.n",7.86190755163549
"347","k","abamectin","1percDMSO","QX38","norm.n",-3.67283419876439
"348","m","abamectin","1percDMSO","QX10","norm.n",-6.09728090915731
"349","e","abamectin","1percDMSO","QX71","mean.EXT",-158.52966916389
"350","m","abamectin","1percDMSO","QX136","mean.EXT",-96.7489367697788
"351","e","abamectin","1percDMSO","QX71","mean.norm.EXT",-0.130276466421523
"352","m","abamectin","1percDMSO","QX136","mean.norm.EXT",-0.238287839180663
"353","e","abamectin","1percDMSO","QX71","mean.TOF",-60.9554693860345
"354","m","abamectin","1percDMSO","QX136","mean.TOF",-25.0377462779704
"355","e","abamectin","1percDMSO","QX71","norm.n",-1.77707609459488
"356","m","abamectin","1percDMSO","QX136","norm.n",6.79729668533193
"357","l","abamectin","1percDMSO","QX5","mean.EXT",-34.4385552905891
"358","m","abamectin","1percDMSO","QX64","mean.EXT",-48.5300321512469
"359","l","abamectin","1percDMSO","QX5","mean.norm.EXT",-0.144887516195455
"360","m","abamectin","1percDMSO","QX64","mean.norm.EXT",-0.319376512460017
"361","l","abamectin","1percDMSO","QX5","mean.TOF",-3.0745813086183
"362","m","abamectin","1percDMSO","QX64","mean.TOF",13.3104569052574
"363","l","abamectin","1percDMSO","QX5","norm.n",-1.65826350834054
"364","m","abamectin","1percDMSO","QX64","norm.n",-2.99375446675405
"365","l","abamectin","1percDMSO","QX124","mean.EXT",6.34086506273038
"366","l","abamectin","1percDMSO","QX124","mean.norm.EXT",-0.135360357163434
"367","l","abamectin","1percDMSO","QX124","mean.TOF",19.3320498131835
"368","l","abamectin","1percDMSO","QX124","norm.n",0.632597312784606
"369","l","abamectin","1percDMSO","QX120","mean.EXT",30.4479719284807
"370","l","abamectin","1percDMSO","QX120","mean.norm.EXT",-0.00799768938173211
"371","l","abamectin","1percDMSO","QX120","mean.TOF",21.6813301283529
"372","l","abamectin","1percDMSO","QX120","norm.n",-8.75610206142132
"373","e","abamectin","1percDMSO","QX40","mean.EXT",73.3427269243554
"374","j","abamectin","1percDMSO","QX68","mean.EXT",-57.6802856569342
"375","l","abamectin","1percDMSO","QX138","mean.EXT",18.8425220852058
"376","m","abamectin","1percDMSO","QX73","mean.EXT",-8.95148359696649
"377","e","abamectin","1percDMSO","QX40","mean.norm.EXT",0.0738259829623333
"378","j","abamectin","1percDMSO","QX68","mean.norm.EXT",-0.130125173520252
