"","assay","condition","control","strain","trait","phenotype"
"1","e","abamectin","1percDMSO","QX89","mean.EXT",110.088399981352
"2","j","abamectin","1percDMSO","QX218","mean.EXT",29.3913394454114
"3","k","abamectin","1percDMSO","QX137","mean.EXT",178.804886490291
"4","e","abamectin","1percDMSO","QX89","mean.norm.EXT",0.274423002993985
"5","j","abamectin","1percDMSO","QX218","mean.norm.EXT",-0.126209271186989
"6","k","abamectin","1percDMSO","QX137","mean.norm.EXT",0.226925137803217
"7","e","abamectin","1percDMSO","QX89","mean.TOF",25.9375242472408
"8","j","abamectin","1percDMSO","QX218","mean.TOF",23.0638380383854
"9","k","abamectin","1percDMSO","QX137","mean.TOF",49.7020950916263
"10","e","abamectin","1percDMSO","QX89","norm.n",5.02914276235102
"11","j","abamectin","1percDMSO","QX218","norm.n",6.34711647936781
"12","k","abamectin","1percDMSO","QX137","norm.n",10.3927705326554
"13","e","abamectin","1percDMSO","QX112","mean.EXT",-163.702283585333
"14","j","abamectin","1percDMSO","QX198","mean.EXT",-97.0435119696509
"15","e","abamectin","1percDMSO","QX112","mean.norm.EXT",-0.212260452706013
"16","j","abamectin","1percDMSO","QX198","mean.norm.EXT",0.124626370816876
"17","e","abamectin","1percDMSO","QX112","mean.TOF",-58.9448000170556
"18","j","abamectin","1percDMSO","QX198","mean.TOF",-52.0469468833814
"19","e","abamectin","1percDMSO","QX112","norm.n",14.3715776981338
"20","j","abamectin","1percDMSO","QX198","norm.n",2.95652114205439
"21","h","abamectin","1percDMSO","QX172","mean.EXT",-57.9646894797939
"22","k","abamectin","1percDMSO","QX92","mean.EXT",-19.0020465090237
"23","h","abamectin","1percDMSO","QX172","mean.norm.EXT",0.116412806422447
"24","k","abamectin","1percDMSO","QX92","mean.norm.EXT",-0.230444561671512
"25","h","abamectin","1percDMSO","QX172","mean.TOF",-38.3242846245773
"26","k","abamectin","1percDMSO","QX92","mean.TOF",-3.1493290325102
"27","h","abamectin","1percDMSO","QX172","norm.n",-4.58493435901015
"28","k","abamectin","1percDMSO","QX92","norm.n",2.00862195967417
"29","e","abamectin","1percDMSO","QX114","mean.EXT",-99.165185540191
"30","k","abamectin","1percDMSO","QX97","mean.EXT",-50.9639996622226
"31","e","abamectin","1percDMSO","QX114","mean.norm.EXT",-0.0890107383368022
"32","k","abamectin","1percDMSO","QX97","mean.norm.EXT",-0.0290392865208617
"33","e","abamectin","1percDMSO","QX114","mean.TOF",-31.7595103763169
"34","k","abamectin","1percDMSO","QX97","mean.TOF",-36.3321713499063
"35","e","abamectin","1percDMSO","QX114","norm.n",-1.208247981009
"36","k","abamectin","1percDMSO","QX97","norm.n",-5.56475695513642
"37","k","abamectin","1percDMSO","QX2","mean.EXT",16.1854997384823
"38","k","abamectin","1percDMSO","QX2","mean.norm.EXT",0.265428390416814
"39","k","abamectin","1percDMSO","QX2","mean.TOF",-22.0574478611632
"40","k","abamectin","1percDMSO","QX2","norm.n",-1.17795354403799
"41","k","abamectin","1percDMSO","QX77","mean.EXT",-12.159450056568
"42","k","abamectin","1percDMSO","QX77","mean.norm.EXT",-0.102991968858226
"43","k","abamectin","1percDMSO","QX77","mean.TOF",10.1509906804799
"44","k","abamectin","1percDMSO","QX77","norm.n",-8.03650539065124
"45","h","abamectin","1percDMSO","QX132","mean.EXT",-20.7258796111704
"46","i","abamectin","1percDMSO","QX51","mean.EXT",51.4981727531476
"47","h","abamectin","1percDMSO","QX132","mean.norm.EXT",-0.133990607044518
"48","i","abamectin","1percDMSO","QX51","mean.norm.EXT",0.160687096144616
"49","h","abamectin","1percDMSO","QX132","mean.TOF",9.62806132002802
"50","i","abamectin","1percDMSO","QX51","mean.TOF",5.96511107768164
"51","h","abamectin","1percDMSO","QX132","norm.n",4.97100022591133
