"","date","experiment","round","assay","plate","condition","control","strain","row","col","trait","phenotype"
"1","20170123","CSSV",1,"a",1,"DMSO","None","N2","A","1","mean.TOF",269.100574712644
"2","20170123","CSSV",1,"a",1,"DMSO","None","N2","A","10","mean.TOF",267.056
"3","20170123","CSSV",1,"a",1,"DMSO","None","N2","A","11","mean.TOF",278.173553719008
"4","20170123","CSSV",1,"a",1,"DMSO","None","N2","A","12","mean.TOF",284.411940298507
"5","20170123","CSSV",1,"a",1,"DMSO","None","N2","A","2","mean.TOF",259.570652173913
"6","20170123","CSSV",1,"a",1,"DMSO","None","N2","A","3","mean.TOF",270.413978494624
"7","20170123","CSSV",1,"a",1,"DMSO","None","N2","A","4","mean.TOF",255.073226544622
"8","20170123","CSSV",1,"a",1,"DMSO","None","N2","A","5","mean.TOF",251.008097165992
"9","20170123","CSSV",1,"a",1,"DMSO","None","N2","A","6","mean.TOF",269.34250764526
"10","20170123","CSSV",1,"a",1,"DMSO","None","N2","A","7","mean.TOF",270.261780104712
"11","20170123","CSSV",1,"a",1,"DMSO","None","N2","A","8","mean.TOF",276.911290322581
"12","20170123","CSSV",1,"a",1,"DMSO","None","N2","A","9","mean.TOF",277.417391304348
"13","20170123","CSSV",1,"a",1,"DMSO","None","N2","B","1","mean.TOF",275.629943502825
"14","20170123","CSSV",1,"a",1,"DMSO","None","N2","B","10","mean.TOF",275.365217391304
"15","20170123","CSSV",1,"a",1,"DMSO","None","N2","B","11","mean.TOF",286.803921568627
"16","20170123","CSSV",1,"a",1,"DMSO","None","N2","B","2","mean.TOF",297.743801652893
"17","20170123","CSSV",1,"a",1,"DMSO","None","N2","B","3","mean.TOF",288.820448877805
"18","20170123","CSSV",1,"a",1,"DMSO","None","N2","B","4","mean.TOF",285.710213776722
"19","20170123","CSSV",1,"a",1,"DMSO","None","N2","B","5","mean.TOF",276.163568773234
"20","20170123","CSSV",1,"a",1,"DMSO","None","N2","B","6","mean.TOF",303.873563218391
"21","20170123","CSSV",1,"a",1,"DMSO","None","N2","B","7","mean.TOF",276.058968058968
"22","20170123","CSSV",1,"a",1,"DMSO","None","N2","B","8","mean.TOF",275.380821917808
"23","20170123","CSSV",1,"a",1,"DMSO","None","N2","B","9","mean.TOF",298.482857142857
