"","date","experiment","round","assay","plate","condition","control","strain","row","col","trait","phenotype"
"53","20171009","abamectinNILs",1,"a",3,"DMSO","None","N2","G","2","mean.TOF",244.237536656892
"54","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3448","G","6","mean.TOF",217.054545454545
"55","20171009","abamectinNILs",1,"a",5,"DMSO","None","FX3518","A","1","mean.TOF",228.098461538462
"56","20171009","abamectinNILs",1,"a",5,"DMSO","None","CB4856","A","12","mean.TOF",263.341563786008
"57","20171009","abamectinNILs",1,"a",5,"DMSO","None","N2","A","2","mean.TOF",252.12987012987
"58","20171009","abamectinNILs",1,"a",5,"DMSO","None","FX3448","A","6","mean.TOF",208.073825503356
"59","20171009","abamectinNILs",1,"a",5,"DMSO","None","FX3518","B","1","mean.TOF",224.914507772021
"60","20171009","abamectinNILs",1,"a",5,"DMSO","None","CB4856","B","12","mean.TOF",237.579256360078
"61","20171009","abamectinNILs",1,"a",5,"DMSO","None","N2","B","2","mean.TOF",242.179310344828
"62","20171009","abamectinNILs",1,"a",5,"DMSO","None","FX3518","C","1","mean.TOF",213.480916030534
"63","20171009","abamectinNILs",1,"a",5,"DMSO","None","CB4856","C","12","mean.TOF",258.613636363636
"64","20171009","abamectinNILs",1,"a",5,"DMSO","None","N2","C","2","mean.TOF",242.8125
"65","20171009","abamectinNILs",1,"a",5,"DMSO","None","FX3448","C","6","mean.TOF",215.301652892562
"66","20171009","abamectinNILs",1,"a",5,"DMSO","None","FX3518","D","1","mean.TOF",210.264957264957
"67","20171009","abamectinNILs",1,"a",5,"DMSO","None","CB4856","D","12","mean.TOF",290
"68","20171009","abamectinNILs",1,"a",5,"DMSO","None","N2","D","2","mean.TOF",282.046035805627
"69","20171009","abamectinNILs",1,"a",5,"DMSO","None","FX3448","D","6","mean.TOF",251.989795918367
"70","20171009","abamectinNILs",1,"a",5,"DMSO","None","FX3518","E","1","mean.TOF",200.926829268293
"71","20171009","abamectinNILs",1,"a",5,"DMSO","None","CB4856","E","12","mean.TOF",278.154566744731
"72","20171009","abamectinNILs",1,"a",5,"DMSO","None","N2","E","2","mean.TOF",222.394957983193
"73","20171009","abamectinNILs",1,"a",5,"DMSO","None","FX3448","E","6","mean.TOF",211.252
"74","20171009","abamectinNILs",1,"a",5,"DMSO","None","FX3518","F","1","mean.TOF",217.790476190476
"75","20171009","abamectinNILs",1,"a",5,"DMSO","None","CB4856","F","12","mean.TOF",242.86866359447
"76","20171009","abamectinNILs",1,"a",5,"DMSO","None","N2","F","2","mean.TOF",270.961077844311
"77","20171009","abamectinNILs",1,"a",5,"DMSO","None","FX3448","F","6","mean.TOF",230.208888888889
"78","20171009","abamectinNILs",1,"a",5,"DMSO","None","FX3518","G","1","mean.TOF",224.189427312775
"79","20171009","abamectinNILs",1,"a",5,"DMSO","None","CB4856","G","12","mean.TOF",267.331125827815
"80","20171009","abamectinNILs",1,"a",5,"DMSO","None","N2","G","2","mean.TOF",247.841666666667
"81","20171009","abamectinNILs",1,"a",5,"DMSO","None","FX3448","G","6","mean.TOF",208.051792828685
"82","20171009","abamectinNILs",1,"a",7,"DMSO","None","FX3518","A","1","mean.TOF",212.070707070707
"83","20171009","abamectinNILs",1,"a",7,"DMSO","None","N2","A","2","mean.TOF",243.512534818942
"84","20171009","abamectinNILs",1,"a",7,"DMSO","None","FX3448","A","6","mean.TOF",209.146551724138
"85","20171009","abamectinNILs",1,"a",7,"DMSO","None","FX3518","B","1","mean.TOF",204.19209039548
"86","20171009","abamectinNILs",1,"a",7,"DMSO","None","CB4856","B","12","mean.TOF",257.351791530945
"87","20171009","abamectinNILs",1,"a",7,"DMSO","None","N2","B","2","mean.TOF",253.638202247191
