"","date","experiment","round","assay","plate","condition","control","strain","row","col","trait","phenotype"
"1","20181106","NILpruned",1,"b",1,"DMSO","None","N2","A","1","mean.TOF",292.347732181425
"2","20181106","NILpruned",1,"b",1,"DMSO","None","N2","A","10","mean.TOF",317.532520325203
"3","20181106","NILpruned",1,"b",1,"DMSO","None","N2","A","11","mean.TOF",336.54854368932
"4","20181106","NILpruned",1,"b",1,"DMSO","None","N2","A","2","mean.TOF",293.971134020619
"5","20181106","NILpruned",1,"b",1,"DMSO","None","N2","A","3","mean.TOF",283.406504065041
"6","20181106","NILpruned",1,"b",1,"DMSO","None","N2","A","4","mean.TOF",287.810606060606
"7","20181106","NILpruned",1,"b",1,"DMSO","None","N2","A","5","mean.TOF",286.11356466877
"8","20181106","NILpruned",1,"b",1,"DMSO","None","N2","A","6","mean.TOF",336.155425219941
"9","20181106","NILpruned",1,"b",1,"DMSO","None","N2","A","7","mean.TOF",328.422279792746
"10","20181106","NILpruned",1,"b",1,"DMSO","None","N2","A","8","mean.TOF",308.33153638814
"11","20181106","NILpruned",1,"b",1,"DMSO","None","N2","A","9","mean.TOF",307.597194388778
"12","20181106","NILpruned",1,"b",1,"DMSO","None","CB4856","B","1","mean.TOF",268.768695652174
"13","20181106","NILpruned",1,"b",1,"DMSO","None","CB4856","B","10","mean.TOF",257.536804308797
"14","20181106","NILpruned",1,"b",1,"DMSO","None","CB4856","B","11","mean.TOF",256.60834670947
"15","20181106","NILpruned",1,"b",1,"DMSO","None","CB4856","B","2","mean.TOF",229.563829787234
"16","20181106","NILpruned",1,"b",1,"DMSO","None","CB4856","B","3","mean.TOF",207.324376199616
"17","20181106","NILpruned",1,"b",1,"DMSO","None","CB4856","B","4","mean.TOF",238.434782608696
"18","20181106","NILpruned",1,"b",1,"DMSO","None","CB4856","B","5","mean.TOF",239.58833619211
"19","20181106","NILpruned",1,"b",1,"DMSO","None","CB4856","B","6","mean.TOF",261.868852459016
"20","20181106","NILpruned",1,"b",1,"DMSO","None","CB4856","B","7","mean.TOF",241.388732394366
"21","20181106","NILpruned",1,"b",1,"DMSO","None","CB4856","B","8","mean.TOF",241.694642857143
"22","20181106","NILpruned",1,"b",1,"DMSO","None","CB4856","B","9","mean.TOF",248.825033647376
"23","20181106","NILpruned",1,"b",1,"DMSO","None","ECA232","C","1","mean.TOF",361.792993630573
"24","20181106","NILpruned",1,"b",1,"DMSO","None","ECA232","C","10","mean.TOF",346.385826771654
"25","20181106","NILpruned",1,"b",1,"DMSO","None","ECA232","C","2","mean.TOF",363.858858858859
"26","20181106","NILpruned",1,"b",1,"DMSO","None","ECA232","C","3","mean.TOF",326.783561643836
"27","20181106","NILpruned",1,"b",1,"DMSO","None","ECA232","C","4","mean.TOF",345.372795969773
"28","20181106","NILpruned",1,"b",1,"DMSO","None","ECA232","C","5","mean.TOF",365.124629080119
"29","20181106","NILpruned",1,"b",1,"DMSO","None","ECA232","C","6","mean.TOF",346.910112359551
"30","20181106","NILpruned",1,"b",1,"DMSO","None","ECA232","C","7","mean.TOF",348.408695652174
"31","20181106","NILpruned",1,"b",1,"DMSO","None","ECA232","C","8","mean.TOF",357.683923705722
"32","20181106","NILpruned",1,"b",1,"DMSO","None","ECA232","C","9","mean.TOF",326.918727915194
"33","20181106","NILpruned",1,"b",1,"DMSO","None","ECA377","D","11","mean.TOF",336.512528473804
"34","20181106","NILpruned",1,"b",1,"DMSO","None","ECA377","D","2","mean.TOF",332.915611814346
"35","20181106","NILpruned",1,"b",1,"DMSO","None","ECA377","D","3","mean.TOF",328.075144508671
"36","20181106","NILpruned",1,"b",1,"DMSO","None","ECA377","D","4","mean.TOF",307.74693877551
"37","20181106","NILpruned",1,"b",1,"DMSO","None","ECA377","D","5","mean.TOF",345.276744186047
"38","20181106","NILpruned",1,"b",1,"DMSO","None","ECA377","D","6","mean.TOF",328.790697674419
"39","20181106","NILpruned",1,"b",1,"DMSO","None","ECA377","D","7","mean.TOF",347.061797752809
"40","20181106","NILpruned",1,"b",1,"DMSO","None","ECA377","D","8","mean.TOF",349.939759036145
"41","20181106","NILpruned",1,"b",1,"DMSO","None","ECA377","D","9","mean.TOF",307.15991902834
"42","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1059","E","1","mean.TOF",330.923529411765
"43","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1059","E","10","mean.TOF",341.012295081967
"44","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1059","E","11","mean.TOF",336.391727493917
"45","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1059","E","2","mean.TOF",335.399014778325
"46","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1059","E","3","mean.TOF",332.460916442049
"47","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1059","E","5","mean.TOF",342.531986531987
"48","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1059","E","6","mean.TOF",329.508152173913
"49","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1059","E","7","mean.TOF",320.053921568627
"50","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1059","E","8","mean.TOF",331.51867219917
"51","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1059","E","9","mean.TOF",316.618613138686
"52","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1065","F","1","mean.TOF",338.315270935961
"53","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1065","F","10","mean.TOF",342.104545454545
"54","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1065","F","11","mean.TOF",342.217283950617
"55","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1065","F","2","mean.TOF",334.41959798995
"56","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1065","F","3","mean.TOF",327.07192575406
"57","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1065","F","5","mean.TOF",371.636363636364
"58","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1065","F","6","mean.TOF",365.612121212121
"59","20181106","NILpruned",1,"b",1,"DMSO","None","ECA1065","F","7","mean.TOF",344.20351758794
