"","comparison","condition","trait","diff","lwr","upr","adj.p.value","exp"
"115","FX3448-CB4856","abamectin","mean.EXT",-93.6983150138515,-123.426642260047,-63.9699877676556,2.00173211339916e-13,"lgc54del"
"116","FX3518-CB4856","abamectin","mean.EXT",-62.3334282120544,-92.0617554582502,-32.6051009658585,9.69085629631827e-07,"lgc54del"
"117","N2-CB4856","abamectin","mean.EXT",-142.029511403796,-171.757838649992,-112.3011841576,0,"lgc54del"
"118","FX3518-FX3448","abamectin","mean.EXT",31.3648868017971,0.923548720177255,61.806224883417,0.0406817090259175,"lgc54del"
"119","N2-FX3448","abamectin","mean.EXT",-48.3311963899447,-78.7725344715645,-17.8898583083248,0.00033115986049681,"lgc54del"
"120","N2-FX3518","abamectin","mean.EXT",-79.6960831917418,-110.137421273362,-49.2547451101219,8.02092725571413e-10,"lgc54del"
"121","FX3448-CB4856","abamectin","norm.n",-20.7575059048554,-23.6420846854189,-17.872927124292,0,"lgc54del"
"122","FX3518-CB4856","abamectin","norm.n",-19.7731490699483,-22.6577278505118,-16.8885702893848,0,"lgc54del"
"123","N2-CB4856","abamectin","norm.n",-13.9415623386278,-16.8261411191913,-11.0569835580643,0,"lgc54del"
"124","FX3518-FX3448","abamectin","norm.n",0.984356834907137,-1.94192886306712,3.91064253288139,0.819569806741487,"lgc54del"
"125","N2-FX3448","abamectin","norm.n",6.81594356622767,3.88965786825341,9.74222926420193,4.58322481078355e-08,"lgc54del"
"126","N2-FX3518","abamectin","norm.n",5.83158673132053,2.90530103334628,8.75787242929479,3.49072075433998e-06,"lgc54del"
"127","FX3448-CB4856","DMSO","mean.TOF",-38.0185448070834,-45.472168481005,-30.5649211331618,0,"lgc54del"
"128","FX3518-CB4856","DMSO","mean.TOF",-48.0038809245465,-55.457504598468,-40.5502572506249,0,"lgc54del"
"129","N2-CB4856","DMSO","mean.TOF",-10.8951117432224,-18.2393853775558,-3.55083810888898,0.000929876952833975,"lgc54del"
"130","FX3518-FX3448","DMSO","mean.TOF",-9.98533611746305,-17.546728616793,-2.42394361813312,0.00417370849997878,"lgc54del"
"131","N2-FX3448","DMSO","mean.TOF",27.123433063861,19.6698093899394,34.5770567377826,0,"lgc54del"
"132","N2-FX3518","DMSO","mean.TOF",37.108769181324,29.6551455074025,44.5623928552456,0,"lgc54del"
"133","FX3448-CB4856","DMSO","mean.EXT",-178.74084548332,-207.236957754552,-150.244733212087,0,"lgc54del"
"134","FX3518-CB4856","DMSO","mean.EXT",-216.083817132499,-244.579929403731,-187.587704861266,0,"lgc54del"
"135","N2-CB4856","DMSO","mean.EXT",-52.1922218431392,-80.1399822820671,-24.2444614042114,1.53663927763281e-05,"lgc54del"
"136","FX3518-FX3448","DMSO","mean.EXT",-37.3429716491793,-66.2510972823045,-8.43484601605417,0.00535355393755821,"lgc54del"
"137","N2-FX3448","DMSO","mean.EXT",126.54862364018,98.1808844528999,154.916362827461,0,"lgc54del"
"138","N2-FX3518","DMSO","mean.EXT",163.89159528936,135.523856102079,192.25933447664,0,"lgc54del"
"139","FX3448-CB4856","DMSO","norm.n",-2.10295830421617,-17.0837400080014,12.8778233995691,0.983517911854849,"lgc54del"
"140","FX3518-CB4856","DMSO","norm.n",-3.56701940035275,-18.853274184552,11.7192353838465,0.930586410794615,"lgc54del"
"141","N2-CB4856","DMSO","norm.n",-7.0030864197531,-21.9137001419879,7.90752730248167,0.617083156985333,"lgc54del"
"142","FX3518-FX3448","DMSO","norm.n",-1.46406109613658,-16.8187673522076,13.8906451599344,0.994694274344593,"lgc54del"
"143","N2-FX3448","DMSO","norm.n",-4.90012811553693,-19.8809098193222,10.0806535882483,0.83176685849159,"lgc54del"
"144","N2-FX3518","DMSO","norm.n",-3.43606701940035,-18.7223218035996,11.8501877647989,0.93734843568724,"lgc54del"
"145","ECA554-CB4856","abamectin","mean.TOF",-9.60089557104508,-16.8442156412063,-2.35757550088387,0.00406913977864831,"cssV"
"146","ECA573-CB4856","abamectin","mean.TOF",0.675570715764815,-6.5677493543964,7.91889078592603,0.99499406184317,"cssV"
"147","N2-CB4856","abamectin","mean.TOF",-13.8606040510755,-21.1453622171556,-6.57584588499546,1.13993690170622e-05,"cssV"
"148","ECA573-ECA554","abamectin","mean.TOF",10.2764662868099,3.16525432572548,17.3876782478943,0.00138274618966405,"cssV"
"149","N2-ECA554","abamectin","mean.TOF",-4.25970848003043,-11.4131238499737,2.89370688991279,0.412795298081428,"cssV"
"150","N2-ECA573","abamectin","mean.TOF",-14.5361747668403,-21.6895901367836,-7.38275939689711,2.47514545248517e-06,"cssV"
"151","ECA554-CB4856","abamectin","mean.EXT",-41.181939968105,-66.5114002132433,-15.8524797229668,0.00023437401906734,"cssV"
"152","ECA573-CB4856","abamectin","mean.EXT",47.6636117928832,22.3341515477449,72.9930720380214,1.45007624552385e-05,"cssV"
"153","N2-CB4856","abamectin","mean.EXT",-4.3036981347949,-29.778064941157,21.1706686715672,0.9717137600213,"cssV"
"154","ECA573-ECA554","abamectin","mean.EXT",88.8455517609882,63.9780657299546,113.713037792022,7.17204073907851e-14,"cssV"
"155","N2-ECA554","abamectin","mean.EXT",36.8782418333101,11.8631729871387,61.8933106794816,0.0010506455604089,"cssV"
"156","N2-ECA573","abamectin","mean.EXT",-51.9673099276781,-76.9823787738495,-26.9522410815066,1.42570759087413e-06,"cssV"
"157","ECA554-CB4856","abamectin","norm.n",-49.5728874538305,-54.6701166045179,-44.4756583031431,7.23865412055602e-14,"cssV"
"158","ECA573-CB4856","abamectin","norm.n",-18.8049669193791,-23.9307054521068,-13.6792283866514,1.11910480882216e-13,"cssV"
"159","N2-CB4856","abamectin","norm.n",-41.0940370409428,-46.2494734523424,-35.9386006295433,7.23865412055602e-14,"cssV"
"160","ECA573-ECA554","abamectin","norm.n",30.7679205344515,25.7324272377954,35.8034138311075,7.23865412055602e-14,"cssV"
"161","N2-ECA554","abamectin","norm.n",8.4788504128877,3.41313014556518,13.5445706802102,0.000141883779421814,"cssV"
"162","N2-ECA573","abamectin","norm.n",-22.2890701215638,-27.3834761044075,-17.19466413872,8.58202398035246e-14,"cssV"
